Sentimen;stemming
Positif;['makan', 'ikan', 'bakar', 'enak', 'pinggir', 'jalan', 'hadap', 'pantai']
Negatif;['lumayan', 'laah', 'bridge', 'air', 'terjun']
Negatif;['air', 'terjun', 'muara', 'sungai', 'curam']
Positif;['parkir', 'tiket']
Negatif;['gosok']
Positif;['dasar', 'hasil', 'wawancara', 'warga', 'air', 'terjun', 'toro', 'simpan', 'kisah', 'suami', 'istri', 'sakti', 'sayyid', 'abdullah', 'siti', 'marwah', 'buju', 'panyeppen', 'sang', 'istri', 'makam', 'sang', 'suami']
Positif;['kelola', 'wisata', 'ramah', 'tempat', 'sejuk']
Positif;['satu', 'air', 'terjun', 'sungai', 'turun', 'langsung', 'laut']
Netral;['kontra', 'kuat', 'bumi']
Positif;['satu', 'air', 'terjun', 'pulau', 'madura']
Positif;['kuliner', 'ikan', 'bakar', 'leseh', 'mantaapp', 'enak', 'bukber', 'mantap', 'tempat']
Negatif;['terang', 'gratis', 'pas', 'masuk', 'kena', 'tarif', 'tiket']
Negatif;['awat']
Positif;['kenang', 'dulusaat', 'natural', 'jamah']
Positif;['memuaskanview', 'kalah', 'bal']
Positif;['kembang', 'wisata', 'pilih', 'muda', 'mud']
Positif;['pandang', 'enak', 'sejuk', 'rasa']
Netral;['air', 'terjun', 'langsng', 'turun', 'laut']
Positif;['view', 'selpie', 'ok', 'banget']
Negatif;['kelola', 'sayang']
Netral;['lumayan']
Positif;['mudah', 'temu', 'lokasi']
Positif;['kopi', 'rempah', 'enak']
Positif;['suasana', 'alam', 'asri']
Positif;['takjub']
Positif;['ok', 'banget']
Netral;['sesuai']
Netral;['bengong']
Negatif;['nyamuk']
Netral;['lumayan']
Positif;['mantap']
Positif;['keren']
Negatif;['tambah', 'lestari']
Positif;['unik', 'seru']
Positif;['mantap']
Netral;['madura']
Positif;['senang']
Netral;['kesah']
Positif;['air', 'terjun', 'buat', 'manusia', 'luap', 'alih', 'sungai', 'dekat', 'laut', 'cerdik', 'jalan', 'turun', 'tangga', 'langkah', 'area', 'orang', 'nikmat', 'air', 'terjun']
Negatif;['kali', 'kembang', 'bersih', 'makan', 'enak', 'parkir', 'aman', 'layan', 'restoran', 'ramah', 'kunjung']
Netral;['sayang', 'kerja']
Netral;['mereuen']
Positif;['murni']
Negatif;['air', 'terjun', 'alir', 'langsung', 'laut', 'kesana', 'sampah', 'pinggir', 'laut', 'moga', 'barokah', 'wali']
Negatif;['destinasi', 'wisata', 'unik', 'utara', 'pulau', 'madura', 'air', 'terjun', 'laut', 'cocok', 'hunting', 'sunset', 'air', 'laut', 'kotor', 'pakai', 'main', 'anak', 'harga']
Negatif;['foto', 'kotor', 'sampah', 'sampah', 'bakar', 'jalan', 'evaluasi']
Negatif;['kotor', 'bersih', 'area', 'jaga']
Negatif;['parkir', 'mahal']
Negatif;['kecewa', 'laku', 'sampah', 'manamana', 'lantai', 'air', 'warna', 'coklat', 'kotor', 'erti', 'peringkat', 'tho', 'beda', 'gambar', 'google', 'air']
Positif;['wisata', 'bukit', 'daramiata', 'cocok', 'nikmat', 'wisata', 'alam', 'indah', 'pandang', 'alam']
Positif;['alhamdulillah', 'jual', 'jalan', 'lancar', 'semuga', 'depa', 'lancar', 'amin']
Negatif;['awat']
Positif;['mski', 'hujan', 'dtgtp', 'setia', 'tunggu', 'hujan', 'redadan', 'kurang', 'indah', 'suguh', 'mski', 'basah', 'kondisix']
Positif;['bagus', 'tempat', 'moga', 'wisata', 'berkah', 'tur', 'mashlahah']
Negatif;['jelek', 'awat', 'toilet', 'jorok', 'bau', 'jalan', 'akses', 'lokos', 'sempit', 'tolong', 'perhati', 'tanam', 'siram', 'kering', 'awat']
Negatif;['tiket', 'masuk', 'kondisi', 'awat', 'akan', 'perhati', 'ada']
Positif;['naik', 'keringat', 'leleh', 'spot', 'foto', 'oke', 'banget']
Positif;['suguh', 'pandang', 'indah', 'atas', 'bukit', 'managemen', 'pariwisata', 'bagus', 'saran', 'bawa', 'makan', 'minum', 'rumah', 'parkir', 'tiket', 'masuk']
Positif;['tempat', 'enak', 'sejuk', 'jalan', 'akses', 'ok']
Positif;['desa', 'wisata', 'bukit', 'daramista', 'mantap', 'guys']
Netral;['rekan', 'kunjung', 'wisata', 'boekit', 'barangkali', 'butuh', 'genteng', 'karang', 'nang', 'hubung', 'langsung', 'wa']
Positif;['udara', 'sejuk', 'tempat', 'bersih', 'bagus', 'fotofoto', 'harga', 'jangkau', 'akses', 'jalan', 'gampang']
Positif;['tempat', 'nyaman', 'indah', 'recomen', 'pokok', 'asli', 'sesal', 'kesitu']
Positif;['tiket', 'lumayan', 'murah', 'swafoto', 'bagus', 'siap', 'tenaga', 'extra', 'bawa', 'anak']
Positif;['pandang', 'bagus', 'halang', 'pohon', 'depan', 'harga', 'tiket', 'mahal', 'kena', 'biaya', 'parkir', 'wahana', 'foto', 'bagus', 'variasi', 'overall', 'bagus', 'mantap']
Positif;['proses', 'kembang', 'representatif', 'fotofoto', 'spot', 'unik', 'tarik']
Negatif;['tiket', 'mahal', 'ribu', 'bonos', 'jaga', 'loket', 'ramah', 'sesal']
Positif;['wisata', 'alam', 'areal', 'bukit', 'indah', 'kota', 'malam']
Positif;['alas', 'bagaimana', 'suka', 'lokasi', 'lelah', 'bilang', 'tempat', 'ragu']
Positif;['eman', 'awat', 'orang', 'jual', 'minum']
Positif;['bagus']
Negatif;['tiket', 'mahal', 'awat', 'jalananya', 'licin']
Negatif;['mahal', 'destinasi', 'wisata']
Positif;['kesana', 'tempat', 'takjub']
Positif;['bagus', 'lihat', 'pandang']
Positif;['lumayan', 'bagus', 'pandang']
Netral;['bukit']
Positif;['keren', 'asyik', 'seru', 'senang']
Positif;['bagus', 'awat']
Positif;['bagus']
Positif;['tempat', 'bagus', 'bersih']
Positif;['wisata', 'bangga', 'daramista', 'lenteng', 'sumenep']
Positif;['mohon', 'pelihara', 'ulang']
Netral;['wisatane', 'orang', 'orang', 'sumenep']
Positif;['bagus', 'kotor']
Positif;['pandang', 'bagus']
Positif;['bguss']
Positif;['bagus']
Positif;['bagus']
Positif;['bagussa']
Positif;['romantis']
Positif;['sip']
Positif;['bagus']
Positif;['hirup', 'udara', 'segar', 'foto', 'keluarga', 'teman', 'murah', 'pasuk', 'manajemen', 'tingkat']
Positif;['bukit', 'sejuk', 'sejuk']
Positif;['bagus', 'sembuh', 'ambil', 'oksigen', 'segar', 'bukit', 'pandang', 'bagus', 'terutam']
Positif;['pandang', 'sejuk', 'panorama', 'alam', 'indah']
Positif;['guud', 'bagus', 'buru']
Netral;['pandang', 'alam']
Positif;['josh']
Positif;['indah']
Negatif;['kondisi', 'awat', 'hutan', 'banget']
Positif;['kota', 'sumenep', 'pandang', 'bukit', 'spot', 'foto', 'latar', 'lembah', 'luas']
Positif;['bagusasyikrekomended', 'dechcuma', 'panas', 'banget', 'siangperlu', 'tambah', 'fasilitas', 'tarik']
Positif;['destinasi', 'wisata', 'patut', 'hitung', 'posisi', 'bukit', 'manja', 'unjung', 'pandang', 'alam', 'tarik', 'sana', 'sedia', 'spot', 'tarik', 'selfie', 'wefie', 'taman', 'bunga', 'rumah', 'kurcaci', 'rumah', 'pohon', 'flying', 'fox', 'pasti', 'unik', 'tarik']
Positif;['panorama', 'bagus', 'sore', 'akses', 'jalan', 'lebar']
Positif;['bersih', 'pukau', 'sungguh', 'indah', 'cipta', 'allah', 'swt']
Positif;['lumayan', 'uji', 'adrenalin', 'pulang', 'khusus', 'bawa', 'mobil', 'harap', 'hati', 'jalan', 'sempit']
Negatif;['fasilitas', 'pada', 'biaya', 'masuk', 'bilang', 'mahal']
Positif;['panas', 'spot', 'foto', 'intagrameble', 'banget']
Positif;['keren', 'foto', 'abadi', 'moment', 'sama']
Positif;['tiket', 'masuk', 'murah']
Netral;['aing', 'datengnya', 'rada', 'sore', 'malam', 'jumat', 'sepi', 'banget']
Positif;['tenang', 'sejuk', 'daerah', 'panas', 'cari', 'sejuk', 'tenang', 'terik', 'matahari', 'nikmat', 'milir', 'angin', 'bawa', 'sejuk', 'daerah', 'panas', 'tempat', 'fasilitas', 'self']
Positif;['bagoes', 'tempatxapalagi', 'malam', 'bagoes']
Positif;['cocok', 'remajaibubapak', 'suka', 'berselfie', 'berwefie', 'tpibagi', 'inigin', 'kesinilebih', 'masuk', 'kesini', 'sore', 'jelang', 'malam', 'panas', 'bagus', 'pandang', 'kabupaten', 'sumenep']
Positif;['pandang', 'bagus', 'spot', 'selfinya', 'oke', 'tingkat', 'awat', 'bersih', 'toilet']
Positif;['perhati', 'perintah', 'kait', 'infrastruktur', 'dibenanhi', 'lengkap', 'safety', 'lahan', 'parkir', 'moga', 'kembang']
Positif;['temanteman', 'traveller', 'holidayer', 'salah', 'rekom', 'teman', 'suka', 'nikmat', 'udara', 'tinggi', 'tempat', 'teman', 'boekit', 'daramista', 'tempat', 'kab', 'sumenep', 'madura']
Positif;['bagus', 'foto', 'luas', 'wilayah', 'wahana', 'far', 'tarik']
Positif;['peejuangan', 'kunjung', 'viewnya', 'keren', 'datamg', 'bolong', 'malam', 'keren', 'gemerlap', 'lampu', 'kejauhab']
Positif;['lokasi', 'mudah', 'jangkau', 'lumayan', 'daki', 'lewat', 'jalan', 'kelok', 'tempat', 'indah', 'asri']
Positif;['bagus', 'pandang']
Positif;['cocok', 'ngadem', 'selfi', 'ria', 'view', 'foto', 'keren']
Positif;['keren', 'bagus', 'pandang', 'indah', 'kamar', 'mandi', 'atauu', 'wc']
Positif;['keren', 'recommended', 'banget', 'deh']
Positif;['cocok', 'foto', 'foto', 'ria', 'nikmat', 'sejuk', 'angin']
Positif;['enak', 'nyaman', 'tenang', 'profesional', 'layan', 'bersih']
Netral;['tempat', 'terpublish', 'desa', 'jalan', 'lumayan', 'jalan', 'raya']
Positif;['pengin', 'kesini', 'jelek', 'indah', 'mantap', 'banget', 'kayak', 'brazil']
Positif;['bukit', 'wisata', 'kampung', 'nuansa', 'islami', 'aneka', 'ragam', 'tanam', 'bunga']
Positif;['sayang', 'awat', 'rawat', 'bagus']
Positif;['mantap', 'enak', 'nongkrong', 'bareng', 'kolega', 'keluarga']
Positif;['keren']
Positif;['senang', 'bukit', 'indahperlu', 'baik']
Positif;['lumayan', 'bagus', 'pelihara']
Positif;['nyaman', 'sejuk', 'moga', 'depan']
Positif;['lumayan', 'wisata', 'daerah', 'situ']
Positif;['suka', 'banget', 'sport', 'selfie']
Positif;['indah', 'pas', 'tomantisan']
Positif;['pandang', 'bagus', 'alami']
Positif;['pandang', 'indah', 'bukit']
Positif;['wisata', 'keren']
Negatif;['tempat', 'kotor', 'awat']
Positif;['senang']
Positif;['spot', 'foto', 'banget']
Positif;['istimewa', 'orang', 'istimewa']
Positif;['keren']
Positif;['bagus', 'pandang']
Positif;['bagusindah', 'panorama']
Negatif;['tiket', 'lumayan', 'mahal']
Positif;['senja', 'pandang', 'alam', 'cantik']
Positif;['bagus']
Positif;['indah', 'libur']
Positif;['baik']
Positif;['tempat', 'indah']
Positif;['mantap', 'bagus']
Netral;['lumayan']
Positif;['mantap', 'indaah']
Positif;['tempat', 'bagus']
Netral;['lumayan']
Positif;['layan', 'puas']
Positif;['sip']
Positif;['mantulll']
Positif;['unik']
Positif;['bagus']
Positif;['bagus']
Positif;['bagus']
Positif;['bagus']
Positif;['indah', 'sumenep', 'madu']
Positif;['bagus']
Positif;['seeeeepp']
Positif;['bagus']
Positif;['dingin', 'sejuk']
Positif;['cantik']
Negatif;['tempat', 'bengkalai', 'rumput', 'awat', 'spot', 'rapuh', 'resiko', 'jatuh', 'spot', 'jembatan', 'love', 'rumah', 'pohon', 'rusak', 'reot', 'sepeda', 'gantung', 'karat', 'operasi']
Positif;['bukit', 'daramista', 'bukit', 'syarat', 'nuansa', 'alam', 'udara', 'sejuk', 'bukit', 'susul', 'bukit', 'pulau', 'madura', 'pusat', 'perhati']
Positif;['bukit', 'tinggiiya', 'sesuai', 'nama', 'posisi', 'lokasi', 'bukit', 'tinggi', 'mdpl']
Positif;['menit', 'kota', 'sumenep', 'jalan', 'bagus', 'lewat', 'mobil', 'track', 'turun', 'ekstrim', 'spot', 'foto', 'banget', 'keren', 'tiket', 'masuk', 'rp', 'rp', 'flying', 'fox', 'sepeda', 'angin', 'worth', 'libur', 'keluarga']
Positif;['destinasi', 'pandang', 'bagus', 'sore', 'jelang', 'sunset', 'tiket', 'masuk', 'spot', 'selfi', 'bayar', 'worth', 'harga', 'mahal', 'spotnya']
Positif;['mantap', 'guysss', 'kali', 'kesini', 'bosenhehe', 'rekomended', 'pokok', 'bagus', 'kesini', 'sore', 'malam', 'sunset', 'mengmbil', 'foto', 'malam', 'lampu', 'pwmandangan']
Positif;['bukit', 'tinggi', 'desa', 'daramista', 'cocok', 'tuju', 'bingung', 'cari', 'wisata', 'daerah', 'sumenep', 'suguh', 'view', 'indah', 'nikmat', 'wahana', 'sedia', 'biaya', 'masuk']
Positif;['wisata', 'selfi', 'foto', 'keluarga', 'pasang', 'mudamudi', 'spot', 'gazebo', 'angin', 'milir', 'nyaman', 'istirahat', 'lepas', 'penat']
Positif;['pandang', 'bagus', 'posisi', 'dtaran', 'suguh', 'pandang', 'darat', 'hijau', 'bawah', 'biru', 'laut', 'bukit', 'bukit', 'sumenep', 'gubukgubuk', 'buat', 'bambu', 'unjung', 'bersantaiistirahat', 'ngopi', 'obrol', 'lainlainnya']
Positif;['refresing', 'keluarga', 'jalan', 'liku', 'lewat', 'kendara', 'siang', 'panas', 'saran', 'sore', 'pagi', 'dapt', 'spot', 'foto', 'bagus', 'lupa', 'bawa', 'tongsis']
Positif;['mantap', 'guysss', 'sdhh', 'kali', 'bosenheherekomended', 'pokok', 'tempat', 'bagus', 'guyss', 'sore', 'malamselain', 'sunset', 'ambil', 'spot', 'foto', 'malam', 'lampu', 'pandang', 'gunung', 'manja', 'mata']
Positif;['wewwww', 'wisata', 'sumenep', 'kalah', 'hitz', 'lo', 'gaes', 'wisata', 'malang', 'yogyakarta', 'rumah', 'pohon', 'rumah', 'kurcaci', 'sepeda', 'awan', 'jalan', 'liku', 'akses', 'saran']
Positif;['lihat', 'foto', 'bagus', 'pas', 'langsung', 'tkp', 'kondisi', 'bagus', 'foto', 'kayak', 'awat', 'pandang', 'bagus']
Positif;['tempat', 'kece', 'spot', 'instagramable', 'kini', 'puas', 'banget', 'pokok']
Positif;['kesini', 'mepet', 'maghrib', 'puas', 'wahana', 'tutup', 'tinggal', 'saung', 'asyik', 'nongkrong', 'kesini', 'review']
Positif;['tempat', 'bagus', 'sangaaat', 'murah', 'jalan']
Positif;['view', 'keren', 'banget', 'kalah', 'deh', 'wisata', 'sayang', 'spot', 'foto', 'buka', 'alas', 'pribadi', 'keren', 'good']
Negatif;['wisata', 'potensial', 'perhati', 'perintah', 'kait', 'akses', 'jalan', 'sempit', 'tiket', 'masuk', 'mahal', 'dukung', 'fasilitas', 'pada']
Positif;['boekit', 'daramista', 'salah', 'wisata', 'alam', 'letak', 'kabupaten', 'sumenep', 'madura', 'wisata', 'alam', 'bukit', 'modifikasi', 'telihat', 'indah', 'tarik', 'boekit', 'daramista', 'akan', 'buka', 'mata', 'unjung', 'saksi', 'indah', 'bumi', 'sumenep', 'hampar', 'depan', 'mata']
Positif;['cocok', 'nikmat', 'milir', 'angin', 'siang', 'sore', 'lokasi', 'mudah', 'jangkau', 'pandang', 'bagus', 'fasilitas', 'pada', 'spot', 'foto', 'instagramable', 'mainstream', 'sayang', 'luas', 'area', 'wisata']
Positif;['rapi', 'bersih', 'cocok', 'spot', 'foto', 'foto', 'tiket', 'masuk', 'bilang', 'jangkau', 'wahana', 'bagus', 'kreatif', 'sayang', 'spot', 'cocok', 'cinta', 'sunset', 'lokasi', 'foto', 'sesuai']
Positif;['viewnya', 'bagus', 'saran', 'siang', 'kesini', 'panas', 'banget']
Positif;['indah', 'libur', 'keluarga', 'spot', 'foto', 'tarik']
Positif;['suasana', 'bukit', 'aduhai', 'pandang', 'laut', 'pernak', 'pernik', 'lambu', 'malam']
Positif;['tempat', 'bagus', 'kemarin', 'pas', 'ksana', 'kecewa', 'fotografer', 'foto']
Positif;['tawar', 'edukasi', 'wisata', 'nuansa', 'alam', 'hijau', 'segar', 'nyaman', 'harga', 'tiket', 'murah', 'objek', 'foto', 'bagus', 'sip']
Positif;['tempat', 'bagus', 'bagus', 'kunjung', 'siang', 'sayang', 'kesana', 'malam', 'nikmat', 'indah']
Positif;['enak', 'sore', 'siang', 'panas', 'jalan', 'nyaman']
Positif;['lengkap', 'renovasi', 'lanjut']
Positif;['tempat', 'asyik', 'manjakanbdan', 'nenangin']
Netral;['yinggi', 'daramistah', 'letak', 'sumenep', 'city']
Positif;['alhamdulillah', 'pandang', 'lumayan', 'indah']
Negatif;['paket', 'selfie', 'zona', 'pikir', 'zona', 'luas', 'banget', 'tiket', 'sedkit', 'spot']
Positif;['keren', 'bagus', 'sumenep', 'wisata', 'bagus']
Positif;['wisata', 'gunung', 'populer', 'kalang', 'masyarakat', 'wahana', 'main', 'tantang', 'tinggi', 'berswafoto', 'selfie', 'romantis', 'sejuk', 'malam', 'lampu', 'kelap', 'kelip', 'rang', 'sedia']
Positif;['bukit', 'batu', 'kapur', 'kembang', 'indah', 'view', 'mukim', 'bawah', 'langit', 'serasa', 'kepala', 'spot', 'selfie', 'arena', 'pacu', 'adrenalin', 'tiket', 'masuk', 'tiket', 'spot', 'selfie', 'sepeda', 'tali', 'flying', 'fox', 'coba', 'yuukkk']
Positif;['bagus', 'jarang', 'datar', 'madura', 'laut', 'pandang', 'sunsetnya', 'tawan', 'butuh', 'kembang', 'jalan', 'lokasi', 'sempit']
Positif;['bukit', 'sumenep', 'madura', 'super', 'mantap']
Positif;['rekreasi', 'instagramable', 'ootd', 'foto', 'prewedding', 'wedding', 'outdor', 'jarak', 'tempuh', 'menit', 'jantung', 'kota', 'sumenep', 'arah', 'desa', 'daramista', 'camat', 'lenteng', 'sepi']
Positif;['bagusmasi', 'kembang']
Positif;['pandang', 'indah', 'sejuk']
Positif;['pandang', 'bagus', 'cocok', 'foto', 'nge', 'hits', 'kurang', 'parkir', 'aman', 'helm', 'teman', 'pas', 'kesana', 'hilang']
Positif;['tempat', 'nyaman', 'santai', 'keluarga', 'spot', 'foto', 'unik', 'instagramable', 'banget', 'pemangdangannya', 'laut', 'bentang']
Positif;['bagus', 'tempat']
Positif;['cocok', 'rekreasi', 'keluarga']
Positif;['datar', 'kabupaten', 'sumenep', 'tiket', 'masuk', 'rp', 'wahana', 'rumah', 'pohon', 'cocok', 'foto']
Positif;['wahana', 'wisata', 'alam', 'bukit', 'lumayan', 'pacu', 'adrenalin', 'alternatif', 'main']
Positif;['wisata', 'anak', 'muda', 'keluarga', 'hobby', 'foto', 'narsis', 'selfie', 'latar', 'bangun', 'dekorasi', 'instagramable']
Positif;['pandang', 'bagus', 'akses', 'masuk', 'sempit', 'sulit', 'kendara', 'roda', 'masuk']
Positif;['wisata', 'bagus', 'harga', 'tiket', 'murah', 'banget', 'lengkap', 'main', 'istagramebel', 'banget']
Positif;['pandang', 'bagus', 'sayang', 'terskhir', 'kesana', 'mojok']
Netral;['lampu', 'terang', 'jalan']
Positif;['spot', 'foto', 'keren']
Positif;['bagus', 'saran', 'banyak', 'jual', 'souvenir', 'baju', 'makan', 'khas', 'sumenep']
Positif;['tempat', 'dingin', 'mata', 'pandang', 'hijau', 'dedaunan', 'laut', 'biru']
Positif;['lumayan', 'bagus', 'cuman', 'hujan', 'becek']
Positif;['lokasi', 'wisata', 'taman', 'panorama', 'alam', 'hijau', 'alami', 'cocok', 'selfie', 'oke']
Positif;['lumayan', 'indah', 'cuman', 'akses', 'masuk', 'keluar', 'enak']
Positif;['salah', 'destinasi', 'wisata', 'alam', 'buat', 'wajib', 'kunjung', 'sumenep']
Netral;['madura', 'banget']
Positif;['tempat', 'indah', 'bandung', 'sana', 'bandung', 'madura']
Positif;['wahana', 'wisata', 'alam', 'kab', 'sumenep', 'tantang', 'adrenalin']
Positif;['cocok', 'suka', 'selfie']
Positif;['spot', 'pandang', 'bagus']
Positif;['luas', 'kembang', 'views']
Positif;['wisata', 'hits', 'sumenep', 'madura']
Positif;['bukit', 'daratista', 'cocok', 'unt', 'rekreasi', 'keluarga']
Positif;['keren', 'wisata', 'kabupaten', 'sumenep']
Positif;['bagus', 'hijau', 'luas']
Positif;['pandang', 'indah']
Positif;['bagoes', 'suka', 'selfie']
Negatif;['bersih']
Negatif;['parkir', 'sepeda', 'motor']
Negatif;['jalan', 'banget', 'arah']
Positif;['indah', 'pusat', 'kota']
Positif;['pandang', 'keren']
Positif;['bagus']
Positif;['lengkap', 'top', 'pokok']
Positif;['bukit', 'madura', 'gersang', 'panas']
Positif;['musim', 'hujan', 'kadang', 'licin']
Positif;['bagus', 'suasana', 'tempat']
Positif;['tualang', 'kesan', 'banget']
Positif;['lumayan', 'ukur', 'kampung']
Positif;['pandang', 'bagus']
Positif;['akses', 'jalan', 'lebar']
Positif;['bagus', 'malam']
Positif;['sport', 'bagus']
Positif;['keindhannya', 'sejuk', 'hati']
Positif;['bagus', 'and', 'tarik']
Positif;['keren', 'deh', 'pokok']
Positif;['cocok', 'refreshing', 'selip', 'selip']
Positif;['boqiet']
Positif;['indah', 'pandang']
Negatif;['baik']
Positif;['lumayan', 'bagus']
Positif;['lumayan', 'kirang', 'bersih']
Positif;['bagus']
Positif;['alhamdulillah', 'muas']
Positif;['tempa', 'bagus']
Positif;['tarik']
Negatif;['tarik']
Positif;['not', 'bad']
Positif;['bagus']
Positif;['indah']
Positif;['indah']
Positif;['lengkap']
Positif;['tempat', 'indah']
Positif;['indah']
Positif;['lumayan']
Positif;['mantap']
Positif;['indah']
Positif;['pandang', 'bagus']
Positif;['bukit']
Positif;['kesan']
Netral;['wisata', 'alam']
Positif;['senang']
Positif;['recomendasi']
Positif;['bagus']
Positif;['bagus']
Positif;['bagus']
Positif;['bagus']
Positif;['bagus']
Netral;['jalan', 'berkelokkelok', 'pandang', 'indah', 'bayang']
Positif;['bagus', 'pergi', 'jam', 'siang']
Negatif;['siasia']
Positif;['bagus']
Positif;['pandang', 'sumenep', 'datar']
Positif;['dingin']
Positif;['rekomendasi']
Positif;['pandang', 'bagus', 'banget']
Positif;['indah']
Positif;['bagus', 'cakep']
Positif;['bagus', 'libur']
Netral;['guru']
Positif;['indah']
Negatif;['awat', 'lihat', 'ular', 'bagus', 'awat', 'spot', 'foto', 'rusak']
Positif;['wisata', 'alam', 'boekit', 'lenteng', 'sumenep', 'biaya', 'masuk', 'wisata', 'parkir', 'motor', 'tiket', 'terus', 'wahana', 'selfie', 'wisata', 'objek', 'foto', 'pandang', 'luas', 'bukit', 'jalan', 'daki']
Positif;['pandang', 'bagus', 'banget', 'favorit', 'kesini', 'jelang', 'senja', 'panas', 'pandang', 'amazing', 'sunset', 'parkir', 'motor', 'parkir', 'mobil', 'tiket', 'masuk', 'free']
Positif;['okee', 'tempat', 'keren', 'kece', 'sumenep', 'wajib', 'mampir', 'wisata', 'boekit', 'letak', 'desa', 'daramista', 'camat', 'lenteng', 'kabupaten', 'sumenep', 'arah', 'kota', 'lewat', 'jalan', 'lingkar', 'barat', 'arah', 'barat']
Positif;['daerah', 'batas', 'sumenep', 'kalianget', 'tempat', 'asri', 'pandang', 'bagus', 'banget', 'sayang', 'akses', 'jalan', 'desa']
Positif;['libur', 'jauhjauh', 'sumatra', 'sumenep', 'boekit', 'destinasi', 'wisata', 'alam', 'tawar', 'nuansa', 'natural', 'alami', 'rugi', 'boekit', 'pilih', 'selfie']
Positif;['boekit', 'desa', 'dsramista', 'kunjung', 'indah', 'kabupaten', 'sumenep', 'tinggi', 'harga', 'tiket', 'ribu']
Positif;['wisata', 'bukit', 'alami', 'spot', 'foto', 'tantang', 'cocok', 'orang', 'tua', 'orang', 'sehat', 'kaki', 'lokasi', 'bukit', 'tanjak', 'curam', 'batu', 'proses', 'bangun', 'atas', 'bukit', 'suguh', 'pandang', 'alam', 'indah']
Positif;['foto', 'kece', 'banget', 'kesana', 'maghrib', 'buru']
Positif;['tempat', 'lumayan', 'bagus', 'jalan', 'baik', 'bagus', 'kemarin', 'pandang', 'rumah', 'pohon', 'bagus', 'pas', 'suka', 'selvi', 'keluarga']
Positif;['bukit', 'salah', 'distinasi', 'wisata', 'menep', 'letak', 'barat', 'kota', 'tempat', 'lepas', 'suntuk', 'keluarga', 'kawand', 'orang', 'sesuwai', 'andai', 'nilai', 'sahabat', 'isi', 'kantong', 'karcis', 'masuk', 'rp', 'orang', 'free', 'selfi', 'rp', 'orang', 'fasilitas', 'foto']
Positif;['senang', 'disanakarena', 'pandang', 'indah', 'sanatapi', 'lelah', 'bukit']
Positif;['bagus', 'cocok', 'cari', 'spot', 'selfie']
Positif;['bagus', 'hilang', 'penat', 'tengah', 'sibuk']
Positif;['view', 'bagus', 'enak', 'santaimurah', 'riah', 'lgcm', 'jalanx', 'batu', 'bahaya', 'anak', 'larihehehe']
Positif;['selvi', 'kondisi', 'bahaya', 'kurang', 'savety', 'elo']
Positif;['lewat', 'brkumpul', 'bahagia', 'sederhana']
Positif;['view', 'bagus', 'banget', 'sore', 'bagus', 'jalan', 'mobil']
Positif;['keren', 'akses', 'butuh', 'diperlebardiperbaiki', 'jalan']
Positif;['bagus', 'tmpatnya', 'unik', 'panas', 'banget', 'saran', 'ksna', 'pagi', 'sore']
Positif;['bagusdestinasi', 'wisata', 'sumenep']
Positif;['fasilitas', 'minim', 'taraf', 'rekreasi', 'mohon', 'lekas', 'benah', 'cepat']
Positif;['bagus', 'pandang', 'sayang', 'orang', 'jaga', 'pintu', 'masuk']
Positif;['tarik', 'cocok', 'keluarga', 'milik', 'anak', 'sedia', 'spot', 'instagramable', 'saran', 'kondisi', 'kendara', 'jalur', 'lokasi']
Positif;['indah', 'pesona', 'bukit', 'kab', 'sumenep']
Positif;['tinggi', 'pandang', 'indah', 'fasilitas', 'baik']
Positif;['salah', 'wisata', 'ujung', 'madura', 'sumenep']
Positif;['tempat', 'bagus', 'cuman', 'makan', 'lengkap']
Positif;['suasana', 'boekit', 'beda', 'hujan', 'sore', 'eksplore', 'spot', 'kece', 'pandang', 'suguh', 'amazing', 'banget', 'nuansa', 'dadak', 'syahdu', 'kabutkabut', 'muncul']
Positif;['bagus', 'libur', 'pasang']
Positif;['seru', 'foto', 'an', 'gemar', 'selfiloop']
Positif;['tempat', 'bagus', 'fotofoto', 'lihat', 'pandang', 'kota', 'sumenep', 'bukit', 'akses', 'kesini', 'sulit', 'jalan', 'sempit', 'muat', 'mobil']
Positif;['spotnya', 'keren', 'cocok', 'suka', 'selfie', 'lihat', 'pandang', 'indah', 'banget', 'cuman', 'tingkat', 'sampah', 'sedia']
Positif;['boekit', 'daramista', 'salah', 'destinasi', 'wisata', 'pulau', 'madura', 'tepat', 'lenteng', 'sumenep', 'boekit', 'alami', 'kembang', 'kolam', 'ruko', 'ruko']
Positif;['kali', 'kemadura', 'langsung', 'ajak', 'jalan']
Positif;['kunjung', 'awalawal', 'bangun', 'lumayan', 'merefresh', 'informasi', 'kembang']
Positif;['bagus', 'pandang', 'alam', 'zona', 'selfinya', 'bahaya', 'baharu']
Positif;['banyak', 'wahana']
Positif;['kesana', 'taoi', 'disan', 'tempat', 'bagus', 'kesana', 'kecewa', 'hai']
Positif;['tempat']
Negatif;['jalan', 'destinasi', 'buruk', 'bayar', 'bingung', 'satu', 'langsung', 'pintu', 'masuk']
Positif;['top', 'bagus', 'viewnya', 'butuh', 'awat', 'bersih', 'urus']
Negatif;['jalan', 'masuk', 'beda', 'kurang', 'tunjuk', 'arah', 'lumayan', 'susah', 'unjung', 'kota']
