komentar;cleaning;tokenize
Air Terjun Yg Bagus, Banyak Spot Foto Yg Keren';Air Terjun Yg Bagus Banyak Spot Foto Yg Keren;['air', 'terjun', 'yg', 'bagus', 'banyak', 'spot', 'foto', 'yg', 'keren']
"Tiket masuk murah sekali hanya 5 ribu saja, pantai bagus, air terjun juga manambah panoroma yg langka..biasanya jarang ada air terjung dekat pantai cuma kisaran 50m..dari pantai, dan pantai banyak batu karang; bagus untuk selfi..";Tiket masuk murah sekali hanya ribu saja pantai bagus air terjun juga manambah panoroma yg langkabiasanya jarang ada air terjung dekat pantai cuma kisaran mdari pantai dan pantai banyak batu karang bagus untuk selfi;['tiket', 'masuk', 'murah', 'sekali', 'hanya', 'ribu', 'saja', 'pantai', 'bagus', 'air', 'terjun', 'juga', 'manambah', 'panoroma', 'yg', 'langkabiasanya', 'jarang', 'ada', 'air', 'terjung', 'dekat', 'pantai', 'cuma', 'kisaran', 'mdari', 'pantai', 'dan', 'pantai', 'banyak', 'batu', 'karang', 'bagus', 'untuk', 'selfi']
Tempatnya cukup bagus dan ada cafee dan toilet..;Tempatnya cukup bagus dan ada cafee dan toilet;['tempatnya', 'cukup', 'bagus', 'dan', 'ada', 'cafee', 'dan', 'toilet']
Satu satunya air terjun di madura yang airnya terjun dari sungai langsung ke laut...bagus banget...kulinernya  mantap...yg recomended ikan bakar kembung maknyus;Satu satunya air terjun di madura yang airnya terjun dari sungai langsung ke lautbagus bangetkulinernya mantapyg recomended ikan bakar kembung maknyus;['satu', 'satunya', 'air', 'terjun', 'di', 'madura', 'yang', 'airnya', 'terjun', 'dari', 'sungai', 'langsung', 'ke', 'lautbagus', 'bangetkulinernya', 'mantapyg', 'recomended', 'ikan', 'bakar', 'kembung', 'maknyus']
Tempat bagus buat spot foto2 pinggir laut, ada air terjun. Bersih dan dilengkapi dengan tempat makan. Karcis juga murah cuma 5k.;Tempat bagus buat spot foto pinggir laut ada air terjun Bersih dan dilengkapi dengan tempat makan Karcis juga murah cuma k;['tempat', 'bagus', 'buat', 'spot', 'foto', 'pinggir', 'laut', 'ada', 'air', 'terjun', 'bersih', 'dan', 'dilengkapi', 'dengan', 'tempat', 'makan', 'karcis', 'juga', 'murah', 'cuma', 'k']
Salah satu keunikannya adalah air terjun yang langsung mengalir ke laut sehingga keindahannya sangat memanjakan mata. salah satu tempat wisata unit andalan kabupaten sampang madura, jarang ditemui di tempat lain;Salah satu keunikannya adalah air terjun yang langsung mengalir ke laut sehingga keindahannya sangat memanjakan mata salah satu tempat wisata unit andalan kabupaten sampang madura jarang ditemui di tempat lain;['salah', 'satu', 'keunikannya', 'adalah', 'air', 'terjun', 'yang', 'langsung', 'mengalir', 'ke', 'laut', 'sehingga', 'keindahannya', 'sangat', 'memanjakan', 'mata', 'salah', 'satu', 'tempat', 'wisata', 'unit', 'andalan', 'kabupaten', 'sampang', 'madura', 'jarang', 'ditemui', 'di', 'tempat', 'lain']
Tempat wisata dg panorama dan pemandanganyg sangat indah ... air terjun yg bermuara tepat dibibir pantai utara pulau madura sangat cocok utk tujuan wisata keluarga ?????? …;Tempat wisata dg panorama dan pemandanganyg sangat indah air terjun yg bermuara tepat dibibir pantai utara pulau madura sangat cocok utk tujuan wisata keluarga;['tempat', 'wisata', 'dg', 'panorama', 'dan', 'pemandanganyg', 'sangat', 'indah', 'air', 'terjun', 'yg', 'bermuara', 'tepat', 'dibibir', 'pantai', 'utara', 'pulau', 'madura', 'sangat', 'cocok', 'utk', 'tujuan', 'wisata', 'keluarga']
Tempat yang bagus dan indah;Tempat yang bagus dan indah;['tempat', 'yang', 'bagus', 'dan', 'indah']
Bagus tempatnya... Kalau mau kesini jgn pas hujan atau setelah hujan, krn air nya agak kotor;Bagus tempatnya Kalau mau kesini jgn pas hujan atau setelah hujan krn air nya agak kotor;['bagus', 'tempatnya', 'kalau', 'mau', 'kesini', 'jgn', 'pas', 'hujan', 'atau', 'setelah', 'hujan', 'krn', 'air', 'nya', 'agak', 'kotor']
Tempat nya bagus dan instagramable banget, cuma kalau pas hujan airnya agak kotor....;Tempat nya bagus dan instagramable banget cuma kalau pas hujan airnya agak kotor;['tempat', 'nya', 'bagus', 'dan', 'instagramable', 'banget', 'cuma', 'kalau', 'pas', 'hujan', 'airnya', 'agak', 'kotor']
Lokasi mudah dijangkau dgn pemandangan yang sangat indah.;Lokasi mudah dijangkau dgn pemandangan yang sangat indah;['lokasi', 'mudah', 'dijangkau', 'dgn', 'pemandangan', 'yang', 'sangat', 'indah']
Tempat nya bagus ... Air terjun yang langsung kelaut.;Tempat nya bagus Air terjun yang langsung kelaut;['tempat', 'nya', 'bagus', 'air', 'terjun', 'yang', 'langsung', 'kelaut']
Sangat Indah??;Sangat Indah;['sangat', 'indah']
Tempat wisata yang bagus, bersih dan masih terkoordiner dengan baik;Tempat wisata yang bagus bersih dan masih terkoordiner dengan baik;['tempat', 'wisata', 'yang', 'bagus', 'bersih', 'dan', 'masih', 'terkoordiner', 'dengan', 'baik']
Pantai yang ada air terjunnya...bagus banget pokoknya ?????? …;Pantai yang ada air terjunnyabagus banget pokoknya;['pantai', 'yang', 'ada', 'air', 'terjunnyabagus', 'banget', 'pokoknya']
Cocok untuk istirahat ngopi dan juga tempatnya indah untu Selfi.;Cocok untuk istirahat ngopi dan juga tempatnya indah untu Selfi;['cocok', 'untuk', 'istirahat', 'ngopi', 'dan', 'juga', 'tempatnya', 'indah', 'untu', 'selfi']
Tempatnya nyaman dan indah... Pokoknya gak bikin kita kecewa... ???????????????????????? …;Tempatnya nyaman dan indah Pokoknya gak bikin kita kecewa;['tempatnya', 'nyaman', 'dan', 'indah', 'pokoknya', 'gak', 'bikin', 'kita', 'kecewa']
Tempatnya bagus ???? …;Tempatnya bagus;['tempatnya', 'bagus']
Sangat bagus indah dan sedikit panas;Sangat bagus indah dan sedikit panas;['sangat', 'bagus', 'indah', 'dan', 'sedikit', 'panas']
Tempatnya bagus. HTM murah.;Tempatnya bagus HTM murah;['tempatnya', 'bagus', 'htm', 'murah']
Keren, air terjun langsung k laut Jawa;Keren air terjun langsung k laut Jawa;['keren', 'air', 'terjun', 'langsung', 'k', 'laut', 'jawa']
Pemandangan yg amat indah;Pemandangan yg amat indah;['pemandangan', 'yg', 'amat', 'indah']
Lumayan keren;Lumayan keren;['lumayan', 'keren']
Tempatnya bagus;Tempatnya bagus;['tempatnya', 'bagus']
Lumayan bagus;Lumayan bagus;['lumayan', 'bagus']
Sungguh bagus banget;Sungguh bagus banget;['sungguh', 'bagus', 'banget']
Bagus;Bagus;['bagus']
Unik dan cantik;Unik dan cantik;['unik', 'dan', 'cantik']
Bagus;Bagus;['bagus']
Bagus;Bagus;['bagus']
Bagus;Bagus;['bagus']
Indah;Indah;['indah']
Bagus;Bagus;['bagus']
"pemandangan air terjun yang bagus dan area berada di jalan utama sehingga aksesnya sangat mudah.
tiket masuk gratis tapi untuk parkir mobil harus membayar 10.000 rupiah per …";pemandangan air terjun yang bagus dan area berada di jalan utama sehingga aksesnya sangat mudah tiket masuk gratis tapi untuk parkir mobil harus membayar rupiah per;['pemandangan', 'air', 'terjun', 'yang', 'bagus', 'dan', 'area', 'berada', 'di', 'jalan', 'utama', 'sehingga', 'aksesnya', 'sangat', 'mudah', 'tiket', 'masuk', 'gratis', 'tapi', 'untuk', 'parkir', 'mobil', 'harus', 'membayar', 'rupiah', 'per']
Air terjun yang bagus dan menarik langsung menuju ke laut. Permasalahannya adalah banyaknya sampah di laut dan bebatuan di sekitar air terjun/pantai. Ebtry murah hanya 5 ribu. Jika Anda pergi ke sini, tolong jangan membuang sampah …;Air terjun yang bagus dan menarik langsung menuju ke laut Permasalahannya adalah banyaknya sampah di laut dan bebatuan di sekitar air terjunpantai Ebtry murah hanya ribu Jika Anda pergi ke sini tolong jangan membuang sampah;['air', 'terjun', 'yang', 'bagus', 'dan', 'menarik', 'langsung', 'menuju', 'ke', 'laut', 'permasalahannya', 'adalah', 'banyaknya', 'sampah', 'di', 'laut', 'dan', 'bebatuan', 'di', 'sekitar', 'air', 'terjunpantai', 'ebtry', 'murah', 'hanya', 'ribu', 'jika', 'anda', 'pergi', 'ke', 'sini', 'tolong', 'jangan', 'membuang', 'sampah']
Tempat yang bagus untuk fotografer lanskap ?????? …;Tempat yang bagus untuk fotografer lanskap;['tempat', 'yang', 'bagus', 'untuk', 'fotografer', 'lanskap']
Tempat ini indah dan nyaman;Tempat ini indah dan nyaman;['tempat', 'ini', 'indah', 'dan', 'nyaman']
pemandangan yang bagus;pemandangan yang bagus;['pemandangan', 'yang', 'bagus']
Cantik & keren;Cantik keren;['cantik', 'keren']
Bagus;Bagus;['bagus']
Air Terjun Toroan. Satu satunya air terjun yg ada di Madura. Yang mana sumbernya dari mata air alami yang langsung turun ke Laut. Lokasi air terjun ini berada di Desa Ketapang Timur Kecamatan Ketapang Kabupaten Sampang Madura. Lokasinya tepat di Pinggir jalan mempermudah wisatawan untuk berkunjung ke tempat ini.;Air Terjun Toroan Satu satunya air terjun yg ada di Madura Yang mana sumbernya dari mata air alami yang langsung turun ke Laut Lokasi air terjun ini berada di Desa Ketapang Timur Kecamatan Ketapang Kabupaten Sampang Madura Lokasinya tepat di Pinggir jalan mempermudah wisatawan untuk berkunjung ke tempat ini;['air', 'terjun', 'toroan', 'satu', 'satunya', 'air', 'terjun', 'yg', 'ada', 'di', 'madura', 'yang', 'mana', 'sumbernya', 'dari', 'mata', 'air', 'alami', 'yang', 'langsung', 'turun', 'ke', 'laut', 'lokasi', 'air', 'terjun', 'ini', 'berada', 'di', 'desa', 'ketapang', 'timur', 'kecamatan', 'ketapang', 'kabupaten', 'sampang', 'madura', 'lokasinya', 'tepat', 'di', 'pinggir', 'jalan', 'mempermudah', 'wisatawan', 'untuk', 'berkunjung', 'ke', 'tempat', 'ini']
Tempatnya nyaman lesehan, makanannya lumayan banyak menu yg disajikan tentunya pinggir laut jadi dapat pemandangan sekaligus bisa menyantap hidangan;Tempatnya nyaman lesehan makanannya lumayan banyak menu yg disajikan tentunya pinggir laut jadi dapat pemandangan sekaligus bisa menyantap hidangan;['tempatnya', 'nyaman', 'lesehan', 'makanannya', 'lumayan', 'banyak', 'menu', 'yg', 'disajikan', 'tentunya', 'pinggir', 'laut', 'jadi', 'dapat', 'pemandangan', 'sekaligus', 'bisa', 'menyantap', 'hidangan']
Air terjun turoan. Air terjun yg mengarah langsung ke pantai. Fasilitas lengkap ada mushola, parkir luas.tp sayang tidak boleh berenang di area air terjun.lumayan untuk liburan menikmati alam.;Air terjun turoan Air terjun yg mengarah langsung ke pantai Fasilitas lengkap ada mushola parkir luastp sayang tidak boleh berenang di area air terjunlumayan untuk liburan menikmati alam;['air', 'terjun', 'turoan', 'air', 'terjun', 'yg', 'mengarah', 'langsung', 'ke', 'pantai', 'fasilitas', 'lengkap', 'ada', 'mushola', 'parkir', 'luastp', 'sayang', 'tidak', 'boleh', 'berenang', 'di', 'area', 'air', 'terjunlumayan', 'untuk', 'liburan', 'menikmati', 'alam']
Tempat makan ikan bakar yang enak di pinggir jalan dan menghadap ke pantai;Tempat makan ikan bakar yang enak di pinggir jalan dan menghadap ke pantai;['tempat', 'makan', 'ikan', 'bakar', 'yang', 'enak', 'di', 'pinggir', 'jalan', 'dan', 'menghadap', 'ke', 'pantai']
"lumayan laah
.perlu ditambahkan bridge depan bawah air terjun nya ...";lumayan laah perlu ditambahkan bridge depan bawah air terjun nya;['lumayan', 'laah', 'perlu', 'ditambahkan', 'bridge', 'depan', 'bawah', 'air', 'terjun', 'nya']
Air terjun muara sungai yg  cukup curam ,;Air terjun muara sungai yg cukup curam;['air', 'terjun', 'muara', 'sungai', 'yg', 'cukup', 'curam']
"Parkir 5k
Tiket 5k";Parkir k Tiket k;['parkir', 'k', 'tiket', 'k']
Gosok sedikit lagi;Gosok sedikit lagi;['gosok', 'sedikit', 'lagi']
Berdasarkan hasil wawancara kepada warga sekitar, Air Terjun Toroan menyimpan kisah tentang suami istri yang sama sakti antara Sayyid Abdullah dan Siti Marwah yang kini menjadi Buju' Panyeppen (sang istri) dan Makam Tinggi (sang suami). …;Berdasarkan hasil wawancara kepada warga sekitar Air Terjun Toroan menyimpan kisah tentang suami istri yang sama sakti antara Sayyid Abdullah dan Siti Marwah yang kini menjadi Buju Panyeppen sang istri dan Makam Tinggi sang suami;['berdasarkan', 'hasil', 'wawancara', 'kepada', 'warga', 'sekitar', 'air', 'terjun', 'toroan', 'menyimpan', 'kisah', 'tentang', 'suami', 'istri', 'yang', 'sama', 'sakti', 'antara', 'sayyid', 'abdullah', 'dan', 'siti', 'marwah', 'yang', 'kini', 'menjadi', 'buju', 'panyeppen', 'sang', 'istri', 'dan', 'makam', 'tinggi', 'sang', 'suami']
PENGELOLA TEMPAT WISATA NYA RAMAH. TEMPATNYA SEJUK.;PENGELOLA TEMPAT WISATA NYA RAMAH TEMPATNYA SEJUK;['pengelola', 'tempat', 'wisata', 'nya', 'ramah', 'tempatnya', 'sejuk']
Satu2nya yg saya tau, air terjun dari sungai turun langsung ke laut;Satunya yg saya tau air terjun dari sungai turun langsung ke laut;['satunya', 'yg', 'saya', 'tau', 'air', 'terjun', 'dari', 'sungai', 'turun', 'langsung', 'ke', 'laut']
Kontrakan terkuat di bumi;Kontrakan terkuat di bumi;['kontrakan', 'terkuat', 'di', 'bumi']
Bisa di bilang satu²nya air terjun di pulau madura...???? …;Bisa di bilang satunya air terjun di pulau madura;['bisa', 'di', 'bilang', 'satunya', 'air', 'terjun', 'di', 'pulau', 'madura']
kuliner ikan bakar lesehan mantaapp dan enak, bukber mantap tempatnya;kuliner ikan bakar lesehan mantaapp dan enak bukber mantap tempatnya;['kuliner', 'ikan', 'bakar', 'lesehan', 'mantaapp', 'dan', 'enak', 'bukber', 'mantap', 'tempatnya']
Di keterangan Gratis, pas masuk dikenai tarif tiket 10.000;Di keterangan Gratis pas masuk dikenai tarif tiket;['di', 'keterangan', 'gratis', 'pas', 'masuk', 'dikenai', 'tarif', 'tiket']
Hanya saja  tempat nya kurang terawat;Hanya saja tempat nya kurang terawat;['hanya', 'saja', 'tempat', 'nya', 'kurang', 'terawat']
Kenangan masa sma dulu..saat masih natural tak terjamah;Kenangan masa sma dulusaat masih natural tak terjamah;['kenangan', 'masa', 'sma', 'dulusaat', 'masih', 'natural', 'tak', 'terjamah']
Sangat memuaskan...view g kalah sama bali;Sangat memuaskanview g kalah sama bali;['sangat', 'memuaskanview', 'g', 'kalah', 'sama', 'bali']
smakin berkembang mnjadi wisata pilihan muda mudi;smakin berkembang mnjadi wisata pilihan muda mudi;['smakin', 'berkembang', 'mnjadi', 'wisata', 'pilihan', 'muda', 'mudi']
Pemandangannya enak sejuk di rasakannya;Pemandangannya enak sejuk di rasakannya;['pemandangannya', 'enak', 'sejuk', 'di', 'rasakannya']
Air terjun yang langsng turun ke laut;Air terjun yang langsng turun ke laut;['air', 'terjun', 'yang', 'langsng', 'turun', 'ke', 'laut']
View buat selpie ok banget;View buat selpie ok banget;['view', 'buat', 'selpie', 'ok', 'banget']
Kurang di kelola dengan baik sayang sekali;Kurang di kelola dengan baik sayang sekali;['kurang', 'di', 'kelola', 'dengan', 'baik', 'sayang', 'sekali']
Lumayan;Lumayan;['lumayan']
Mudah menemukan lokasi yang diinginkan;Mudah menemukan lokasi yang diinginkan;['mudah', 'menemukan', 'lokasi', 'yang', 'diinginkan']
Kopi rempah nya enak;Kopi rempah nya enak;['kopi', 'rempah', 'nya', 'enak']
suasana alamnya masih asri;suasana alamnya masih asri;['suasana', 'alamnya', 'masih', 'asri']
Menakjubkan;Menakjubkan;['menakjubkan']
Ok banget;Ok banget;['ok', 'banget']
Sesuai;Sesuai;['sesuai']
Tempat buat bengong;Tempat buat bengong;['tempat', 'buat', 'bengong']
Banyak nyamuk;Banyak nyamuk;['banyak', 'nyamuk']
Lumayan lah;Lumayan lah;['lumayan', 'lah']
mantap;mantap;['mantap']
Kereenn;Kereenn;['kereenn']
Ditambah  pelestariannya;Ditambah pelestariannya;['ditambah', 'pelestariannya']
Unik dan Seru..;Unik dan Seru;['unik', 'dan', 'seru']
Mantap;Mantap;['mantap']
Madura;Madura;['madura']
Menyenangkan;Menyenangkan;['menyenangkan']
Mengesahkan;Mengesahkan;['mengesahkan']
"Air terjun buatan manusia, itu adalah luapan yang dialihkan dari sungai terdekat ke laut. Meskipun cerdik. Perlu berjalan menuruni tangga 50 langkah. Ada area kecil di mana orang bisa menikmati ""air terjun""";Air terjun buatan manusia itu adalah luapan yang dialihkan dari sungai terdekat ke laut Meskipun cerdik Perlu berjalan menuruni tangga langkah Ada area kecil di mana orang bisa menikmati air terjun;['air', 'terjun', 'buatan', 'manusia', 'itu', 'adalah', 'luapan', 'yang', 'dialihkan', 'dari', 'sungai', 'terdekat', 'ke', 'laut', 'meskipun', 'cerdik', 'perlu', 'berjalan', 'menuruni', 'tangga', 'langkah', 'ada', 'area', 'kecil', 'di', 'mana', 'orang', 'bisa', 'menikmati', 'air', 'terjun']
Datang ke sini beberapa kali selama 5 tahun terakhir. Terlihat jauh lebih berkembang dan bersih. Makanannya enak dan tempat parkirnya cukup aman. Pelayanan di restoran tidak ramah pada kunjungan terakhir saya.;Datang ke sini beberapa kali selama tahun terakhir Terlihat jauh lebih berkembang dan bersih Makanannya enak dan tempat parkirnya cukup aman Pelayanan di restoran tidak ramah pada kunjungan terakhir saya;['datang', 'ke', 'sini', 'beberapa', 'kali', 'selama', 'tahun', 'terakhir', 'terlihat', 'jauh', 'lebih', 'berkembang', 'dan', 'bersih', 'makanannya', 'enak', 'dan', 'tempat', 'parkirnya', 'cukup', 'aman', 'pelayanan', 'di', 'restoran', 'tidak', 'ramah', 'pada', 'kunjungan', 'terakhir', 'saya']
Sayang gak kerja ???????? …;Sayang gak kerja;['sayang', 'gak', 'kerja']
Mereuen;Mereuen;['mereuen']
Besar;Besar;['besar']
Murni;Murni;['murni']
Atas;Atas;['atas']
"Air terjun yg tidak terlalu tinggi. Mengalir langsung ke laut.
Waktu kesana banyak sampah di pinggiran laut
Meski demikian semoga tetap mendapatkan barokah dari wali yg ada sana?? …";Air terjun yg tidak terlalu tinggi Mengalir langsung ke laut Waktu kesana banyak sampah di pinggiran laut Meski demikian semoga tetap mendapatkan barokah dari wali yg ada sana;['air', 'terjun', 'yg', 'tidak', 'terlalu', 'tinggi', 'mengalir', 'langsung', 'ke', 'laut', 'waktu', 'kesana', 'banyak', 'sampah', 'di', 'pinggiran', 'laut', 'meski', 'demikian', 'semoga', 'tetap', 'mendapatkan', 'barokah', 'dari', 'wali', 'yg', 'ada', 'sana']
Destinasi wisata unik di bagian utara pulau madura... Air terjun ke laut... Cocok untuk tempat hunting sunset... Cuma air lautnya sangat kotor tdk bisa dipakai main anak2 (kurang th juga apa mungkin pada waktu2 tertentu saja).... Harga …;Destinasi wisata unik di bagian utara pulau madura Air terjun ke laut Cocok untuk tempat hunting sunset Cuma air lautnya sangat kotor tdk bisa dipakai main anak kurang th juga apa mungkin pada waktu tertentu saja Harga;['destinasi', 'wisata', 'unik', 'di', 'bagian', 'utara', 'pulau', 'madura', 'air', 'terjun', 'ke', 'laut', 'cocok', 'untuk', 'tempat', 'hunting', 'sunset', 'cuma', 'air', 'lautnya', 'sangat', 'kotor', 'tdk', 'bisa', 'dipakai', 'main', 'anak', 'kurang', 'th', 'juga', 'apa', 'mungkin', 'pada', 'waktu', 'tertentu', 'saja', 'harga']
"Tempat foto""nya kurang dan kotor lagi banyak sampah""nya dan sampahnya di bakar, di dekat jalan evaluasi...";Tempat fotonya kurang dan kotor lagi banyak sampahnya dan sampahnya di bakar di dekat jalan evaluasi;['tempat', 'fotonya', 'kurang', 'dan', 'kotor', 'lagi', 'banyak', 'sampahnya', 'dan', 'sampahnya', 'di', 'bakar', 'di', 'dekat', 'jalan', 'evaluasi']
Kotor, kebersihan area tidak dijaga;Kotor kebersihan area tidak dijaga;['kotor', 'kebersihan', 'area', 'tidak', 'dijaga']
Parkirannya kemahalan;Parkirannya kemahalan;['parkirannya', 'kemahalan']
sangat mengecewakan, semuanya tidak diperlakukan dengan baik. Banyak sampah di mana-mana di lantai, airnya berwarna coklat dan kotor. saya tidak mengerti mengapa peringkatnya 4 tho ??. sangat berbeda dengan gambar di google, di mana airnya …;sangat mengecewakan semuanya tidak diperlakukan dengan baik Banyak sampah di manamana di lantai airnya berwarna coklat dan kotor saya tidak mengerti mengapa peringkatnya tho sangat berbeda dengan gambar di google di mana airnya;['sangat', 'mengecewakan', 'semuanya', 'tidak', 'diperlakukan', 'dengan', 'baik', 'banyak', 'sampah', 'di', 'manamana', 'di', 'lantai', 'airnya', 'berwarna', 'coklat', 'dan', 'kotor', 'saya', 'tidak', 'mengerti', 'mengapa', 'peringkatnya', 'tho', 'sangat', 'berbeda', 'dengan', 'gambar', 'di', 'google', 'di', 'mana', 'airnya']
Luar biasa;Luar biasa;['luar', 'biasa']
Wisata bukit tinggi daramiata tempat yang cocok bagi penikmat wisata alam dengan keindahan pemandangan alamnya;Wisata bukit tinggi daramiata tempat yang cocok bagi penikmat wisata alam dengan keindahan pemandangan alamnya;['wisata', 'bukit', 'tinggi', 'daramiata', 'tempat', 'yang', 'cocok', 'bagi', 'penikmat', 'wisata', 'alam', 'dengan', 'keindahan', 'pemandangan', 'alamnya']
Alhamdulillah jualan saya selama ini berjalan dengan lancar, dan semuga kedepanya makin lancar, amin;Alhamdulillah jualan saya selama ini berjalan dengan lancar dan semuga kedepanya makin lancar amin;['alhamdulillah', 'jualan', 'saya', 'selama', 'ini', 'berjalan', 'dengan', 'lancar', 'dan', 'semuga', 'kedepanya', 'makin', 'lancar', 'amin']
Tidak terawat;Tidak terawat;['tidak', 'terawat']
???? …;;[]
Mski smpt hujan wkt dtg,tp ttp setia nunggu hujan smp reda.dan itu smua tdk mengurangi keindahan yg disuguhkan di tempat ini mski dlm keadaan basah kondisix???? …;Mski smpt hujan wkt dtgtp ttp setia nunggu hujan smp redadan itu smua tdk mengurangi keindahan yg disuguhkan di tempat ini mski dlm keadaan basah kondisix;['mski', 'smpt', 'hujan', 'wkt', 'dtgtp', 'ttp', 'setia', 'nunggu', 'hujan', 'smp', 'redadan', 'itu', 'smua', 'tdk', 'mengurangi', 'keindahan', 'yg', 'disuguhkan', 'di', 'tempat', 'ini', 'mski', 'dlm', 'keadaan', 'basah', 'kondisix']
Bagus sekali tempatnya. Semoga menjadi wisata berkah tur mashlahah.;Bagus sekali tempatnya Semoga menjadi wisata berkah tur mashlahah;['bagus', 'sekali', 'tempatnya', 'semoga', 'menjadi', 'wisata', 'berkah', 'tur', 'mashlahah']
Jelek tidak terawat. Toiletnya jorok dan bau. Jalan akses menuju lokosi sempit. Tolong lebih di perhatikan lagi untuk tanamannya di siram. Sudah kering dan tidak terawat;Jelek tidak terawat Toiletnya jorok dan bau Jalan akses menuju lokosi sempit Tolong lebih di perhatikan lagi untuk tanamannya di siram Sudah kering dan tidak terawat;['jelek', 'tidak', 'terawat', 'toiletnya', 'jorok', 'dan', 'bau', 'jalan', 'akses', 'menuju', 'lokosi', 'sempit', 'tolong', 'lebih', 'di', 'perhatikan', 'lagi', 'untuk', 'tanamannya', 'di', 'siram', 'sudah', 'kering', 'dan', 'tidak', 'terawat']
tiket masuk : 15K kondisi kurang terawat. entah karena apa. seakan sudah tak lagi diperhatikan keadaannya.;tiket masuk K kondisi kurang terawat entah karena apa seakan sudah tak lagi diperhatikan keadaannya;['tiket', 'masuk', 'k', 'kondisi', 'kurang', 'terawat', 'entah', 'karena', 'apa', 'seakan', 'sudah', 'tak', 'lagi', 'diperhatikan', 'keadaannya']
Walau naiknya bikin keringat meleleh tapi spot fotonya oke banget;Walau naiknya bikin keringat meleleh tapi spot fotonya oke banget;['walau', 'naiknya', 'bikin', 'keringat', 'meleleh', 'tapi', 'spot', 'fotonya', 'oke', 'banget']
"Disuguhi pemandangan yang indah diatas bukit, cuma managemen pariwisatanya kurang bagus, disarankan bawa makanan minuman dari rumah.
Parkir 5k. Tiket masuk 15k.";Disuguhi pemandangan yang indah diatas bukit cuma managemen pariwisatanya kurang bagus disarankan bawa makanan minuman dari rumah Parkir k Tiket masuk k;['disuguhi', 'pemandangan', 'yang', 'indah', 'diatas', 'bukit', 'cuma', 'managemen', 'pariwisatanya', 'kurang', 'bagus', 'disarankan', 'bawa', 'makanan', 'minuman', 'dari', 'rumah', 'parkir', 'k', 'tiket', 'masuk', 'k']
Tempatnya enak, sejuk, jalan aksesnya sudah OK;Tempatnya enak sejuk jalan aksesnya sudah OK;['tempatnya', 'enak', 'sejuk', 'jalan', 'aksesnya', 'sudah', 'ok']
Inilah desa saya dan wisata saya di bukit tinggi daramista,  mantap guys;Inilah desa saya dan wisata saya di bukit tinggi daramista mantap guys;['inilah', 'desa', 'saya', 'dan', 'wisata', 'saya', 'di', 'bukit', 'tinggi', 'daramista', 'mantap', 'guys']
buat rekan yang berkunjung ke wisata boekit tinggi barangkali ada yang butuh genteng karang penang hubungi langsung wa saya;buat rekan yang berkunjung ke wisata boekit tinggi barangkali ada yang butuh genteng karang penang hubungi langsung wa saya;['buat', 'rekan', 'yang', 'berkunjung', 'ke', 'wisata', 'boekit', 'tinggi', 'barangkali', 'ada', 'yang', 'butuh', 'genteng', 'karang', 'penang', 'hubungi', 'langsung', 'wa', 'saya']
Udaranya sejuk, tempatnya bersih, bagus untuk foto-foto, harga terjangkau, akses jalannya juga gampang;Udaranya sejuk tempatnya bersih bagus untuk fotofoto harga terjangkau akses jalannya juga gampang;['udaranya', 'sejuk', 'tempatnya', 'bersih', 'bagus', 'untuk', 'fotofoto', 'harga', 'terjangkau', 'akses', 'jalannya', 'juga', 'gampang']
Tempatnya nyaman, indah dan recomen lah pokoknya, asli ga nyesel dateng kesitu;Tempatnya nyaman indah dan recomen lah pokoknya asli ga nyesel dateng kesitu;['tempatnya', 'nyaman', 'indah', 'dan', 'recomen', 'lah', 'pokoknya', 'asli', 'ga', 'nyesel', 'dateng', 'kesitu']
"Tiket lumayan murah
Ada beberapa tempat swafoto yang bagus.
Siapkan tenaga extra jika membawa anak kecil. …";Tiket lumayan murah Ada beberapa tempat swafoto yang bagus Siapkan tenaga extra jika membawa anak kecil;['tiket', 'lumayan', 'murah', 'ada', 'beberapa', 'tempat', 'swafoto', 'yang', 'bagus', 'siapkan', 'tenaga', 'extra', 'jika', 'membawa', 'anak', 'kecil']
"Pemandangan bagus tapi agak terhalang pohon2 yang besar di depannya.
Harga tiket cukup mahal, dan masih terkena biaya parkir.
Wahana dan tempat foto sudah bagus dan bervariasi.
Overall bagus... Mantap...";Pemandangan bagus tapi agak terhalang pohon yang besar di depannya Harga tiket cukup mahal dan masih terkena biaya parkir Wahana dan tempat foto sudah bagus dan bervariasi Overall bagus Mantap;['pemandangan', 'bagus', 'tapi', 'agak', 'terhalang', 'pohon', 'yang', 'besar', 'di', 'depannya', 'harga', 'tiket', 'cukup', 'mahal', 'dan', 'masih', 'terkena', 'biaya', 'parkir', 'wahana', 'dan', 'tempat', 'foto', 'sudah', 'bagus', 'dan', 'bervariasi', 'overall', 'bagus', 'mantap']
Sepertinya masih dalam proses pengembangan, tapi sudah sangat representatif buat foto-foto. Banyak spot unik dan menarik.;Sepertinya masih dalam proses pengembangan tapi sudah sangat representatif buat fotofoto Banyak spot unik dan menarik;['sepertinya', 'masih', 'dalam', 'proses', 'pengembangan', 'tapi', 'sudah', 'sangat', 'representatif', 'buat', 'fotofoto', 'banyak', 'spot', 'unik', 'dan', 'menarik']
